id;guid;dayOfWeek;openHoursBegin;openHoursEnd;breakHoursBegin;breakHoursEnd;comment;type;chartOrganizationId
8108;83a225dc-96c8-43de-b1f0-34f6e3e11acb;2;09:00:00;17:00:00;12:00:00;13:00:00;;ReceptionHours;4
8109;24e00902-f4ef-4ea8-a6f4-7e461e537d91;3;09:00:00;18:00:00;12:00:00;13:00:00;;ReceptionHours;4
8110;8599b38a-9faa-48fd-be65-bb9a22fdbc30;4;09:00:00;17:00:00;12:00:00;13:00:00;;ReceptionHours;4
8111;1c2e399f-f2d9-4f80-a516-2430ba6824ce;5;08:00:00;17:00:00;12:00:00;13:00:00;;ReceptionHours;4
8112;fc77e292-8704-43da-8e35-8fca677cb63d;6;;;;;;ReceptionHours;4
8113;d33c0dbd-c68e-4f65-850f-961879ceb5db;1;09:00:00;18:00:00;12:00:00;13:00:00;;ReceptionHours;4
8114;ff494699-1749-433d-8b39-1a9703fed660;0;;;;;;OpeningHours;4
8115;57100d71-4494-43cd-a6c2-da78d5463a02;2;08:00:00;17:00:00;12:00:00;13:00:00;;OpeningHours;4
8116;8209309b-a087-4625-83c2-80606d287608;3;08:00:00;17:00:00;12:00:00;13:00:00;;OpeningHours;4
8117;cd147f9a-a0d5-46ab-87e3-2e6dc6669a2d;4;08:00:00;17:00:00;12:00:00;13:00:00;;OpeningHours;4
8118;66d3675c-ea8f-4ccb-93e4-55d6a5925287;5;08:00:00;17:00:00;12:00:00;13:00:00;;OpeningHours;4
8119;77d09799-e55b-4406-aeaa-80fc6d7ce702;6;;;;;;OpeningHours;4
8120;5ea3e84c-220c-4796-9fb5-9dd58c37bdb9;1;08:00:00;17:00:00;12:00:00;13:00:00;;OpeningHours;4
8121;02f40f32-4584-44e8-a692-29396c94b9ae;0;;;;;;ReceptionHours;5
8122;b5aa3e56-eed2-471d-bd5a-7a0d6899bf8c;2;07:48:00;17:00:00;12:00:00;13:00:00;;ReceptionHours;5
8123;d795dc7a-c304-44ed-b461-66e8cc615a29;3;07:48:00;17:00:00;12:00:00;13:00:00;;ReceptionHours;5
8124;aa09bc82-14a0-4794-9bcc-f570ab788046;4;07:48:00;17:00:00;12:00:00;13:00:00;;ReceptionHours;5
8125;0d4bfa71-9016-4d8d-ba6d-ebacd6dbbd63;5;07:48:00;16:00:00;12:00:00;13:00:00;;ReceptionHours;5
8126;cc0623ae-5814-4b87-854a-7525496b0c04;6;;;;;;ReceptionHours;5
8127;ecfdb573-15e1-40c3-909a-04b497fbe6a6;1;07:48:00;17:00:00;12:00:00;13:00:00;;ReceptionHours;5
8128;b7c443cb-959d-4670-8137-2b5ef117ab82;0;;;;;;OpeningHours;5
8129;840e5269-c785-4fe1-b527-5a9c418872f3;2;07:48:00;17:00:00;12:00:00;13:00:00;;OpeningHours;5
8130;b19fae1f-63aa-44ec-87b6-e5886024adcd;3;07:48:00;17:00:00;12:00:00;13:00:00;;OpeningHours;5
8131;ad511ced-03cc-4ced-be1d-3954ca96448d;4;07:48:00;17:00:00;12:00:00;13:00:00;;OpeningHours;5
8132;5a9baf03-940b-409d-b4c5-5e5a8efa5409;5;07:48:00;16:00:00;12:00:00;13:00:00;;OpeningHours;5
8133;f6ad2195-bc52-4019-afab-f4e8e1d0f42a;6;;;;;;OpeningHours;5
