id;guid;aoGuid;name;parentGuid;level
31;b9f1d31e-629a-4559-9777-4d8ce6de3e9c;a42595b6-3e7d-434a-979b-bd3dc0078d39;Новоайбесинское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
32;d4fce450-6ef2-452c-8a17-041ea26d868c;80ccf778-7b11-4925-b1eb-bbccd9362b09;Октябрьское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
33;4002ce7f-d15f-4219-908b-a6832615d82d;edba44dd-6764-45c7-a10f-1f19928c7d74;Первомайское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
34;22647330-be7e-4274-b786-f16de467b36f;004aa2c6-ab7b-458e-9907-9c2666b3aef5;Сойгинское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
35;8a048add-1f9b-4780-9d7a-a2786ef28db8;29cc8eec-7763-4cca-b298-fb855a9b72e8;Староайбесинское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
36;3ae6deb0-ba70-4c9d-8340-dc085e00d143;5f1ec17e-f0c5-493b-99ae-238daea9d6d3;Стемасское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
37;6385c9e9-c5b2-4212-a685-6c9a52039dd3;37f676c6-1adf-41a8-ac11-ebea75409498;Аликовское;2085bdb8-ebe3-4c38-95ca-262d756da2da;4
38;181687e2-3f25-46ae-b505-3a37ca403db1;181687e2-3f25-46ae-b505-3a37ca403db1;Большевыльское;2085bdb8-ebe3-4c38-95ca-262d756da2da;4
39;a7ff3c2e-e756-4bff-9d6d-ad6d533eddd9;a7ff3c2e-e756-4bff-9d6d-ad6d533eddd9;Ефремкасинское;2085bdb8-ebe3-4c38-95ca-262d756da2da;4
40;73ad5210-9d9e-4232-8063-5bea1b977664;73ad5210-9d9e-4232-8063-5bea1b977664;Илгышевкое;2085bdb8-ebe3-4c38-95ca-262d756da2da;4
41;4e0ab02d-0759-4e73-99e2-174af44a7462;4e0ab02d-0759-4e73-99e2-174af44a7462;Крымзарайкинское;2085bdb8-ebe3-4c38-95ca-262d756da2da;4
42;0bc2fa7c-f683-4ee8-a82e-32f01b083460;0bc2fa7c-f683-4ee8-a82e-32f01b083460;Питишевское;2085bdb8-ebe3-4c38-95ca-262d756da2da;4
43;853dcd0c-7682-4f00-b1bd-df4a2704172a;853dcd0c-7682-4f00-b1bd-df4a2704172a;Раскильдинское;2085bdb8-ebe3-4c38-95ca-262d756da2da;4
44;ffd1df7c-7c47-4ff3-bc84-401265c6bfe3;ffd1df7c-7c47-4ff3-bc84-401265c6bfe3;Таутовское;2085bdb8-ebe3-4c38-95ca-262d756da2da;4
45;6dcba768-14a7-4670-8733-cba27dab1ba3;6dcba768-14a7-4670-8733-cba27dab1ba3;Тенеевское;2085bdb8-ebe3-4c38-95ca-262d756da2da;4
1028;e16262be-8ba9-4d32-8d5f-a0931a58f37b;7617231a-1275-4d6a-bc58-45b336bf5a5c;Куйбышева;6edd2a33-d03a-4d59-83c3-e14de6890a49;7
46;60b7c6e4-ae4f-4550-82cc-5039aa935a83;60b7c6e4-ae4f-4550-82cc-5039aa935a83;Чувашско-Сорминское;2085bdb8-ebe3-4c38-95ca-262d756da2da;4
